QID,QTYPE,QEN,QEN_length,ACEN_length,AW1EN_length,AW2EN_length
1630,photo,"Who is this one of the greatest American basketball players of all time, who died in a helicopter crash in 2020?",112,11,14,12
1768,photo,"Who was the head coach of the Germany national football team, that he led to victory at the 2014 FIFA World Cup in Brazil?",122,11,12,16
3261,photo,"What is the name of this American musical group, which released the song ""Don't Phunk With My Heart""?",101,19,8,8
3338,photo,"What is the name of this Russian pop-rock group, that won in the first season of the Star Factory talent show?",110,5,18,9
23706,text,"Known as ""the first affordable automobile,"" the Model T began production in 1908. What company produced the Model T?",116,4,9,5
25815,text,Who is considered the best coach in the history of FC Barcelona after winning all possible titles in 2009?,106,13,13,12
28115,video,The Academy Award-nominated film The Queen depicts how the British royal family coped with what historical event?,113,27,24,26
24280,text,"During the French Revolution, what apparatus was designated for ""humane"" executions, especially during the Reign of Terror?",123,10,6,3
25813,video,What was the name of the dog that waited for its owner for so long in the movie (based on real events) 'Always by your side'?,125,7,6,6
28117,text,"What 155 kilometres-long structure came crashing down in 1989, scattering large chunks all over the world?",106,11,18,18
28088,video,What state does Kevin Spacey represent as Congressman Underwood in the Netflix series House of Cards?,101,14,7,8
26364,text,Which of the following countries did not fight against Paraguay during the War of the Triple Alliance?,102,4,7,9
22941,text,"Where is the statue of the little mermaid, which depicts one of the characters of Hans Christian Andersen?",106,10,9,6
27975,video,Which mountain range running north-south through western Russia forms a natural border between Europe and Asia?,111,9,8,12
28180,text,"Which of these was proven reliable by the inventor's wife, who famously travelled over 80 kilometres using one?",111,11,5,4
22076,text,In which city is the former Hamburger Station (Hamburger Bahnhof) which now has a museum of modern art?,103,6,8,6
27061,text,"Who landed in Normandy on June 6, 1944, due to the military operation carried out by the Allies in World War II?",112,33,35,20
27983,text,Which of these countries is not one of the five permanent members of the United Nations Security Council?,105,7,6,6
26317,text,What is the current name of the country in which Christopher Columbus first set foot in the New World?,102,7,6,10
24250,text,What are the 2 cities that were bombed by atomic bombs named little boy and fat boy during World War 2?,103,22,20,17
27029,text,In what Japanese military ceremony did a Samurai have to commit suicide after losing honor in battle?,101,8,7,9
27920,text,"What 420-square-mile island, just north of Australia, has the world's greatest concentration of languages?",106,10,6,7
22632,text,What is the name of the theater worker who tells the actors the words of their roles during the performance?,108,8,7,12
23366,text,"Which of the following artists, born in the 1400s, created blueprints for modern technology, such as helicopters?",113,17,16,7
23920,text,Who sculpted the goat that can be found in the sculpture garden at the New York Museum of Modern Art?,101,7,8,5
28073,video,"The two main male characters in TV series The Big Bang Theory are named after what U.S. film producer, director and actor?",122,15,16,15
28016,video,"In the TV series Friends, which male character does Rachel Green never have a romantic relationship with?",105,8,4,4
28039,video,Which Australian actor was Oscar-nominated for his performance as the speech therapist in The King's Speech?,108,13,11,12
28185,video,"In a 2006 film, Renée Zellweger portrayed which English writer and illustrator who created the character of Peter Rabbit?",121,14,12,10
23329,text,Which composer is said to have sawed the legs off of his piano and play lying down on the floor to hear the vibrations?,119,9,6,7
23437,text,"In 1984, the members of which rock band turned down 1 million dollars to shave their beards in a Gillette commercial?",117,6,14,15
23897,text,"Sergei Rachmaninoff, Peter Illych Tchaikovsky, and Johann Sebastian Bach composed what kinds of pieces?",103,9,10,13
28087,text,"What singer, who scored a 2011 viral hit with her song ""Friday,"" released its sequel, ""Saturday,"" in 2013?",106,13,11,4
28244,text,"Who said, ""If you're going to be born and be in a rock and roll band, you may as well be in the Beatles""?",105,15,11,11
24231,text,"During the First World War, in the year 1914, soldiers of which two armies took part in what is now known as the ""Christmas Truce""?",131,17,22,27
26996,text,Which of the following is considered 'The Nomad Empire' because they never settled and never stopped conquering territory?,122,7,8,9
22648,text,"Which author is known for writing stories about his life and his friends, some of which are Tom Sawyer and The Prince and the Pauper?",133,10,15,15
25628,text,"To which philosopher does the phrase 'the end justifies the means' refer, as a result of the interpretation of his thought?",123,19,13,10
26165,text,To which poet belongs the phrase: 'He who always waits suffers more than he who never waited for anyone'?,105,12,21,19
28228,video,"Which Louis de Bernières novel, later a film, was set on the Greek island of Kefalonia during World War II?",107,26,8,19
22043,text,Who in Roman mythology is known for flying too close to the sun (it melted the wax holding the feathers of its wings together)?,127,6,8,8
22990,text,What ancient Macedonian commander who conquered the lands from Greece to India at the age of 33 died of thirst in Babylon?,122,19,18,10
23712,text,The car Franklin Roosevelt rode in to declare war on Japan in was previously owned by what notorious crook?,107,9,16,6
24264,text,The dead bodies of what two outlaws were displayed for viewing by intrigued crowds of people in 1939?,101,16,29,25
28658,video,"In the Grimms’ “Little Snow White,” which parts of Snow White does the evil queen express a desire to eat?",106,15,14,4
28829,video,The Charleston is a dance featured by swung heels and twisted knees.Where did the name “Charleston” come from?,110,18,22,25
28923,text,What color did Hermione turn the leaves of the Weasley’s crabapple tree into for Harry’s 17th birthday?,103,4,3,5
28989,video,"In 2012,the opening ceremony of London Summer Olympics featured a 100-foot tall rendition of which character?",109,14,16,13
29323,video,"In 'Reservoir Dogs', Quentin Tarantino's character is discussing the meaning of a song by Madonna.What was it?",110,13,13,6
29385,text,"In ""True Romance"" written by Tarantino, there is a the character of Alabama.In what movie Alabama also mentioned?",113,14,31,10
29387,text,In what Tarantino movie is a woman complimented on her pronunciation of a language that is foreign to her?,106,17,12,13
29397,text,Which documentary film released by through interviews with filmmakers Quentin Tarantino and Ruggero Deodato?,108,15,10,10
23859,photo,"In volleyball, what is the maximum amount of times you are allowed to hit the ball when it is on your side of the net?",118,1,1,1
29581,text,Dan Aykroyd and John Belushi starred in a 1979 Spielberg movie.Which year was the title of this film?,101,4,4,4
29602,text,"Which Spielberg film features cameo appearances by George Lucas, Carrie Fisher and Spielberg himself?",101,4,13,16
29625,video,"In Saving Private Ryan, while in Neuville, the squad decided to rest up. In what building did they stay?",104,8,7,6
29633,text,"At the nightclub, Sophia tells David, ""I'll tell you in another life, when we are both..."" Finish the quote from Vanilla Sky",124,4,4,4
29649,video,"What is the name of Geoffrey Rush character, Avner's key remaining contact with the Israeli government in ""Munich""?",115,7,6,5
29773,text,"Having won back to back titles in the 1960s, which team lost the next five finals in which they played?",103,7,15,17
29775,text,Which club was Champions League runner up five times in the first twenty-five years of the competition?,103,8,7,11
29798,video,"Which player has scored 21 goals in 60 Champions League games for Bayern, Atlético Madrid and Juventus?",103,15,12,11
29824,text,Real Madrid won the first five European Cups. Which club was the second club to win this competition?,101,7,6,4
26056,photo,"In what year did boxer Cassius Marcellus Clay change his name to Muhammad Ali, after converting to Islam?",105,4,4,4
26078,photo,Who was the first Ecuadorian footballer to score a goal in the first World Cup that Ecuador qualified?,102,13,14,16
26010,text,"'It's not personal, Sonny. It's strictly business' is a phrase from the movie 'The Godfather' said by whom?",107,16,13,16
26556,video,With what nickname is Walter White known in the world of drug trafficking in the series 'Breaking Bad'?,103,10,9,9
26656,photo,"What is the name of the volcano found in Chile, which erupted in 2015, evacuating many towns near it?",101,7,9,8
28086,video,What signature phrase does Donald Trump say when he eliminates a contestant on the TV series The Apprentice?,108,15,15,14
28103,text,"Who popularised the exclamation ""d'oh!"", which has since been added to the Oxford English Dictionary?",101,12,9,18
26977,photo,Which of these well-known actresses played the role of Debra Morgan on the television series 'Dexter'?,102,18,14,15
22409,text,The name of a three-headed giant dog from Greek mythology guarding the entrance to the underground kingdom,106,8,6,7
27137,photo,"What author used in one of his poems Bécquer's verse 'where oblivion dwells, there shall be my grave'?",102,6,7,8
27211,photo,"In what country would you find the oldest tree in the world, an ancient Norway spruce discovered in 2004?",105,6,6,7
24334,text,What is the scientific name for the process of an organism reproducing by splitting itself into two separate bodies?,116,7,9,14
28276,text,"What colour are chilblains, the marks that appear on the skin as a result of rapid temperature change?",102,3,5,6
27927,photo,What Liverpool street sign was stolen so often that officials started painting the name on the sides of buildings?,114,10,14,9
28053,photo,Which fashion designer created Catherine Middleton's wedding dress for her marriage to Prince William?,102,12,13,12
28069,photo,Which branch will the Slough office merge with at the end of the first season of the TV series ”The Office”?,108,7,6,12
28076,photo,What Beatles song was downloaded the most in the United States the first day iTunes began selling their music in 2010?,118,18,8,25
28116,photo,"The poster ""Keep Calm and Carry On"" was produced in great quantity by the British government during which war?",110,12,11,26
28126,photo,"What country, often referred to as the chocolate capital of the world, is credited with the invention of praline 100 years ago?",127,7,10,8
28172,photo,What famous rock star wrote to president Richard Nixon suggesting that he be made a Federal agent-at-large?,107,13,11,14
28340,photo,What is the name of the technology used in tennis that allows players to contest line judge decisions?,102,8,10,8
28356,photo,"Which dessert,named after a ballerina,is claimed by both Australians and New Zealanders as their own?",101,7,9,6
27838,text,The theory stating that the minor actions can lead to bigger consequences is named after which insect?,102,9,3,3
28524,photo,"Given the record for most Oscar nominations, how many Oscar nominations has Meryl Streep has before 2022?",105,2,2,2
25704,text,What food melted in the pocket of the inventor of the microwave so that he discovered the calorific power of the waves?,119,9,3,9
28623,photo,"In which Charles Dickens’ novel we find the characters Bently Drummle, Joe Gargary, and Herbert Pocket?",103,18,12,11
28268,text,"On a standard QWERTY computer keyboard, what is the only vowel not to appear in the top row of letters?",103,1,1,1
28285,text,"What kind of data storage, hosted by a third-party data centre, is accessible from any device anywhere?",103,5,15,19
28656,photo,What are Ashputtel’s slippers for the third night made of in the Grimms’ telling of the Cinderella folktale?,108,4,5,7
23663,text,"Who was the South African president, who after being released from jail, worked to get rid of apartheid?",104,14,12,12
28680,photo,What is the name of the 17year old girlfriend of the lead character of the novel The Adventures of Oliver Twist?,112,5,5,5
28816,photo,Which famous American painter was initially rejected by the US Navy during World War I for being underweight?,109,15,19,19
28825,photo,In Japanese dance theatre the body makeup of the performers is traditionally covered in which colour?,101,5,3,5
28842,photo,Which artist's painting was damaged when a student fell into it at the Metropolitan Museum of Art in New York?,110,13,13,13
28866,photo,"Who is the world’s richest tattoo artist, who charges $1,000 per an hour and only works on the weekends?",104,14,9,9
28946,photo,"Concerningly for Professor Trelawney and Hagrid, who created and claimed the office of Hogwarts High Inquisitor?",112,16,17,13
28954,photo,"With powerful healing effects when made into a potion, what plant, when uprooted, can kill with its cry?",104,8,17,13
28427,text,"Who is the soothsayer that predicted to Polyphemus, a Sicilian Cyclops, that Odysseus would blind him?",102,7,8,6
28569,text,"Which actor has only acted in five feature films in his career, but all were nominated for the Best Picture Oscar?",114,11,9,10
29315,photo,Mr.Pink complains about his code name.Which other Tarantino movie characters dislikes his/her code name?,104,17,12,16
28652,text,"In 1991 the sequel to Gone with the Wind, written by Alexandra Ripley, was published. What was the title?",105,8,10,16
28661,text,"Who were the Celtic priests,teachers and judges who assembled yearly at a sacred place to hear legal disputes?",110,6,12,5
29384,photo,In which movie did Steve Buscemi play as waiter for not tipping in a restaurant as Mr.Pink in Reservoir Dogs?,109,12,12,17
28693,text,In which city does Benedict Turpin witness the anti-French provocation in the novel The Prussian Terror?,104,6,8,6
28697,text,"What was the name of the born heir to King Henry the Eighth in M. Twain's novel ""The Prince and the Pauper""?",108,6,3,4
29451,photo,How many ships were repaired and placed into service that were damaged during the Pearl Harbor attack ?,103,1,1,1
28904,text,What mode of transport do Harry and Ron use to get to Hogwarts at the beginning of their second year?,101,12,15,7
29546,photo,Which one of the Seven Wonders replaced Ishtar Gate on one of the first lists of the Wonders of the World?,106,24,18,18
29564,photo,The Hanging Gardens of Babylon are sometimes called the Hanging Gardens of which female Assyrian ruler?,103,9,15,6
29579,photo,"In ""A.I. Artificial Intelligence"", what is the name of the prototype mecha played by Haley Joel Osment?",103,5,4,6
29595,photo,"A young boy named Jamie Graham, Basie, and Mrs. Victor star in which Spielberg movie, set during WWII?",102,17,19,16
29604,photo,"In Catch me if you can - when Frank impersonated an airline pilot, what airline did he pretend he was with?",107,12,10,10
28953,text,What is actually inside the chocolate cauldrons that Ron Weasley finds an old box of on his birthday?,101,11,19,12
28958,text,"Not given a first name in the books, who did J. K. Rowling later confirm, in Pottermore, is called Quirinus?",108,18,17,16
28962,text,"The most powerful wands use at their core one of phoenix feather, dragon heartstring or what animal’s hair?",107,7,5,3
28964,text,Which wonderfully named Professor takes over from Hagrid in teaching Harry’s Care of Magical Creatures class?,109,24,16,18
29627,photo,"In Saving Private Ryan, what was the codename of the fallback point on the bridge, with the detonator?",102,9,9,12
29631,photo,What is the song Celie and Nettie sing together as children at the end of the movie The Color Purple?,101,8,7,8
29636,photo,"With a budget of around $150 million, what was the U.S. box office for Jurassic World's premier weekend?",104,14,14,12
29683,photo,Name the person who was the 997th Lord Commander of the Night’s Watch at the time when Jon Snow joined?,103,12,16,6
29181,text,"My skin and my hair are a lovely bright white, an elf? yes I am, Known as the Lady of Light. Who am I?",102,9,5,5
29765,photo,"What name was given to the infamous wedding in which Robb Stark, his wife and mother are all murdered?",102,15,17,18
29812,photo,Which Liverpool player set a new record for the number of assists in a campaign during the 2018 CL final?,105,12,13,11
29813,photo,Which Dortmund player chipped Angelo Peruzzi within 16 seconds of coming on as a substitute in a 1997 final?,108,11,12,12
29834,photo,"Liverpool goalkeeper, who performed his famous 'Spaghetti Legs' in penalty shootout against Roma in 1984",104,16,10,15
29838,photo,Which Chelsea player missed the penalty which handed the victory to Manchester United in the 2008 Final?,104,14,15,13
29302,text,"Which Tarantino movie was really only half of a movie, the other half being directed by Robert Rodriguez?",105,11,14,16
29303,text,"What film that was directed,written,and acted in by Q.Tarantino and was his first commercial success in 1992?",109,14,12,12
29307,text,"Which unique camera angle ""Pulp Fiction"",""Reservoir Dogs"",""Kill Bill: Vol 1"" and ""Jackie Brown"" all share?",106,28,18,24
29322,text,How many years were between when'The Hateful Eight' and 'Once Upon A Time..In Hollywood'was released?,101,1,2,1
29324,text,"In 'Kill Bill Vol.2', Pai Mei teaches The Bride a technique that enables her to kill Bill. What was it called?",110,31,18,20
29328,text,What was the name of Rick Dalton's Western TV show from 'Once Upon A Time..In Hollywood' that was cancelled?,108,10,6,7
29386,text,"What is common thing about characters of Clarence Worley from ""True Romance"" and Buck from ""Kill Bill:Vol.1""?",109,14,8,7
29416,text,What meeting of world powers near the end of World War II is often said to mark the beginning of the Cold War?,110,16,24,18
29418,text,Via what route did Russians manage to send some supplies to Leningrad during the German siege of the city?,106,17,19,18
30023,photo,"Who said: Only 3 people have ever silenced 200.000-people Maracana with a single gesture: Frank Sinatra, Pope John Paul II and I",128,15,14,11
